"Timestamp","How many cigarette packs they were buying?","Did they buy the Marlboro Cigarettes?","Did you tell them about the Discount?","Did they know about discount before you told them?","Did they buy two Marlboro Cigarettes' after you tell them about the offer?","Were they new customer?","How many Marlboro Cigarettes' they bought in total? ","Comments"
"2021/03/17 6:09:30 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:16:19 PM AST","2","Yes","Yes","Yes","Yes","No","2","Neutral "
"2021/03/17 6:16:35 PM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/17 6:18:15 PM AST","1","Yes","Yes","No","No","Yes","1","Unhappy "
"2021/03/17 6:18:24 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:18:41 PM AST","4 and more","Yes","Yes","Yes","Yes","Yes","4 and more","Happy "
"2021/03/17 6:19:58 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:20:25 PM AST","1","No","","","","","","Neutral "
"2021/03/17 6:33:26 PM AST","2","Yes","No","Yes","Yes","No","2","Neutral "
"2021/03/17 8:12:53 PM AST","1","Yes","Yes","No","No","Yes","1","Happy, "
"2021/03/17 8:19:33 PM AST","2","Yes","Yes","Yes","Yes","No","2","Happy, regular "
"2021/03/17 9:48:53 PM AST","1","No","","","","","","Happy "
"2021/03/17 9:49:14 PM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/17 10:33:11 PM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/17 10:33:23 PM AST","1","No","","","","","","Calm, "
"2021/03/17 10:33:52 PM AST","1","Yes","No","No","No","Yes","1","Neutral "
"2021/03/17 10:34:21 PM AST","1","Yes","Yes","No","No","Yes","1","Not interested,  neutral "
"2021/03/18 3:25:47 PM AST","1","No","","","","","","Unhappy"
"2021/03/18 4:08:13 PM AST","3","Yes","No","Yes","Yes","No","2","Neutral "
"2021/03/18 4:11:00 PM AST","1","No","","","","","","Happy "
"2021/03/18 5:11:21 PM AST","1","No","","","","","","Happy "
"2021/03/18 5:11:56 PM AST","1","No","","","","","","Neutral "
"2021/03/18 5:46:10 PM AST","2","No","","","","","","Happy "
"2021/03/18 5:52:28 PM AST","1","No","","","","","","Unimpressed "
"2021/03/18 5:53:14 PM AST","1","Yes","Yes","Yes","No","No","1","Neutral "
"2021/03/18 5:53:41 PM AST","1","Yes","No","No","No","Yes","1","Angry "
"2021/03/18 6:07:56 PM AST","1","No","","","","","","Neutral "
"2021/03/18 6:27:11 PM AST","1","No","","","","","","Neutral "
"2021/03/18 6:27:17 PM AST","1","No","","","","","","Happy "
"2021/03/18 6:37:37 PM AST","1","No","","","","","","Neutral "
"2021/03/18 7:01:44 PM AST","1","No","","","","","","Happy, "
"2021/03/18 7:02:38 PM AST","2","No","","","","","","Happy "
"2021/03/18 7:31:38 PM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/18 8:23:12 PM AST","1","Yes","Yes","No","No","Yes","1","Happy "
"2021/03/18 8:24:14 PM AST","1","Yes","Yes","No","Yes","Yes","2","Happy, "
"2021/03/18 8:50:35 PM AST","1","No","","","","","","Happy "
"2021/03/18 9:13:18 PM AST","3","Yes","Yes","No","Yes","Yes","4 and more","Happy "
"2021/03/18 9:14:24 PM AST","1","Yes","Yes","No","No","Yes","1","Neutral "
"2021/03/18 9:14:30 PM AST","2","No","","","","","","Neutral "
"2021/03/18 9:17:20 PM AST","1","No","","","","","","Neutral "
